size_bytes,t_waking_s,pid,waker_cpu,target_cpu,waking_to_ipi,ipi_to_idle_exit,idle_exit_to_wakeup,wakeup_to_switch,switch_to_user,waking_to_running_ns,waking_to_user_ns
1024,597588.291372030,1232018,1,0,225,746,604,417,,1992,
1024,597588.291659780,1232018,1,0,286,975,732,449,,2442,
1024,597588.291808404,1232018,1,0,221,820,640,420,,2101,
1024,597588.292022057,1232018,1,0,244,1046,668,430,,2388,
1024,597588.292110804,1232018,1,0,,,,275,,1173,
1024,597588.292226327,1232018,1,0,337,1045,615,398,,2395,
1024,597588.292349235,1232018,1,0,198,774,1069,677,,2718,
1024,597588.293042129,1232018,1,0,1023,1201,626,410,,3260,
1024,597588.293256466,1232018,1,0,337,1010,602,415,,2364,
1024,597588.293499233,1232018,1,0,226,822,888,761,,2697,
1024,597588.293747189,1232018,1,0,241,1277,684,495,,2697,
1024,597588.294086994,1232018,1,0,212,1066,596,525,,2399,
1024,597588.294456257,1232018,1,0,186,1193,573,617,,2569,
1024,597588.294740425,1232018,1,0,297,1094,608,594,,2593,
1024,597588.295021925,1232018,1,0,212,782,605,583,,2182,
1024,597588.295077387,1232018,1,0,309,855,617,371,,2152,
1024,597588.295221276,1232018,1,0,322,1015,559,375,,2271,
1024,597588.295397896,1232018,1,0,328,1101,894,395,,2718,
1024,597588.295637169,1232018,1,0,399,1164,637,351,,2551,
1024,597588.296050746,1232018,1,0,291,1115,969,610,,2985,
1024,597588.296300758,1232018,1,0,209,1233,877,571,,2890,
1024,597588.296584586,1232018,1,0,290,1265,584,617,,2756,
1024,597588.296879444,1232018,1,0,223,791,648,595,,2257,
1024,597588.297206428,1232018,1,0,181,1049,594,349,,2173,
1024,597588.297734164,1232018,1,0,289,1139,667,406,,2501,
1024,597588.297940497,1232018,1,0,293,997,803,413,,2506,
1024,597588.298124201,1232018,1,0,182,,,538,,1956,
1024,597588.299034205,1232018,1,0,231,1191,678,494,,2594,
1024,597588.299347835,1232018,1,0,216,997,806,400,,2419,
1024,597588.299449157,1232018,1,0,353,1342,625,445,,2765,
