size_bytes,t_waking_s,pid,waker_cpu,target_cpu,waking_to_ipi,ipi_to_idle_exit,idle_exit_to_wakeup,wakeup_to_switch,switch_to_user,waking_to_running_ns,waking_to_user_ns
65536,594626.834215878,1204566,1,0,177,728,652,389,8931,1946,10877
65536,594626.834231412,1204568,0,1,178,732,640,378,9022,1928,10950
65536,594626.834247233,1204566,1,0,175,737,721,424,8870,2057,10927
65536,594626.834262863,1204568,0,1,174,720,957,384,8811,2235,11046
65536,594626.834278585,1204566,1,0,188,721,682,504,8854,2095,10949
65536,594626.834294474,1204568,0,1,173,739,636,420,8860,1968,10828
65536,594626.834310261,1204566,1,0,203,811,732,453,8802,2199,11001
65536,594626.834326250,1204568,0,1,168,731,649,394,8893,1942,10835
65536,594626.834341612,1204566,1,0,180,723,672,383,8805,1958,10763
65536,594626.834357019,1204568,0,1,173,724,645,378,9004,1920,10924
65536,594626.834372510,1204566,1,0,173,822,641,371,9021,2007,11028
65536,594626.834388424,1204568,0,1,181,737,625,380,8948,1923,10871
65536,594626.834403888,1204566,1,0,191,755,669,432,9058,2047,11105
65536,594626.834420029,1204568,0,1,215,726,668,398,8862,2007,10869
65536,594626.834435597,1204566,1,0,190,737,639,468,8809,2034,10843
262144,594626.834452683,1204568,0,1,,,1470,480,9265,2463,11728
262144,594626.834463928,1204566,1,0,243,816,876,393,100316,2328,102644
262144,594626.834476726,1204568,0,1,230,723,719,365,32390,2037,34427
262144,594626.834510353,1204566,1,0,477,743,662,487,53850,2369,56219
262144,594626.834522825,1204568,0,1,232,726,696,417,29697,2071,31768
262144,594626.834554052,1204566,1,0,283,809,667,459,10302,2218,12520
262144,594626.834566198,1204568,0,1,179,756,716,403,30505,2054,32559
262144,594626.834604094,1204566,1,0,188,957,739,388,9746,2272,12018
262144,594626.834615611,1204568,0,1,197,836,776,334,81208,2143,83351
262144,594626.834622622,1204566,1,0,226,732,722,381,29909,2061,31970
262144,594626.834654186,1204568,0,1,195,820,732,416,42613,2163,44776
262144,594626.834661495,1204566,1,0,175,739,633,379,28397,1926,30323
262144,594626.834691315,1204568,0,1,247,,,463,5555,2092,7647
262144,594626.834698539,1204566,1,0,224,727,654,392,29086,1997,31083
262144,594626.834739322,1204568,0,1,826,,,1609,9762,2721,12483
262144,594626.834751353,1204566,1,0,203,743,1101,428,40582,2475,43057
262144,594626.834758922,1204568,0,1,471,,,980,9395,1611,11006
262144,594626.834769530,1204566,1,0,184,738,639,377,22942,1938,24880
262144,594626.834776253,1204568,0,1,507,,,1102,9391,1782,11173
262144,594626.834786980,1204566,1,0,200,742,637,380,5471,1959,7430
262144,594626.834793630,1204568,0,1,431,,,1022,9073,1620,10693
262144,594626.834809462,1204566,1,0,209,728,715,459,9876,2111,11987
262144,594626.834820570,1204568,0,1,540,,,1140,40904,1850,42754
262144,594626.834827172,1204566,1,0,188,732,631,393,9502,1944,11446
